stage,date,distance,origin,destination,type,flat_cobblestone,flat,half,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition,winner,winner_country,year,country_code,stage_2
10,7/18/1912,326,Luchon,Bayonne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Louis Mottiat,BEL,1912,3,10
11,7/20/1912,379,Bayonne,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1912,11,11
12,7/21/1912,470,La Rochelle,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Heusghem,BEL,1912,3,12
13,7/24/1912,405,Brest,Cherbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1912,11,13
14,7/26/1912,361,Cherbourg,Le Havre,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vicenzo Borgarello,ITA,1912,18,14
15,7/28/1912,317,Le Havre,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1912,11,15
1,6/29/1913,388,Paris,Le Havre,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giovanni Micheletto,ITA,1913,18,1
2,7/1/1913,364,Le Havre,Cherbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jules Masselis,BEL,1913,3,2
3,7/3/1913,405,Cherbourg,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Henri Pelissier,FRA,1913,11,3
4,7/5/1913,470,Brest,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Buysse,BEL,1913,3,4
5,7/7/1913,379,La Rochelle,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Henri Van Lerberghe,BEL,1913,3,5
6,7/9/1913,326,Bayonne,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Philippe Thys,BEL,1913,3,6
7,7/11/1913,324,Luchon,Perpignan,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Buysse,BEL,1913,3,7
8,7/13/1913,325,Perpignan,Aix-en-Provence,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1913,11,8
9,7/15/1913,356,Aix-en-Provence,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Firmin Lambot,BEL,1913,3,9
